id,width_B,gradient_perpendicular
4010,702.0618107,0.253539513
4004,788.5304693,0.193774232
4007,773.7732341,0.199076847
2002,764.4237731,0.101658072
5003,732.9442876,0.259903292
8013,760.0515543,0.177708043
6006,757.2488234,0.189466769
7002,710.1102824,0.115693806
7005,791.9107599,0.085040505
13012,665.6889133,0.253217039
13009,576.5358245,0.17985957
9004,603.688915,0.114945825
13002,566.867002,0.076752729
11006,691.0268308,0.147722604
15003,725.5922562,0.186913392
17004,565.8911512,0.063805098
17005,427.5005606,0.05692536
15025,691.0747862,0.165974279
15027,578.9474369,0.04370887
15038,720.7664466,0.143933326
21005,542.6655272,0.220479219
21001,526.0430464,0.281207729
21024,665.7003459,0.104952167
54027,735.4883529,0.103725065
54028,484.8914301,0.169131236
67001,470.8523726,0.181061795
57005,545.082545,0.172926026
39003,928.295149,0.04280263
39004,862.7843502,0.051184286
40015,1648.293512,0.035994411
43028,924.7685499,0.044025137
37034,557.8446843,0.028067037
39146,671.0882462,0.008601404
39042,879.0760134,0.04281124
39111,764.1252822,0.038868253
38001,647.3034359,0.034719876
47022,513.9409771,0.103933336
38011,879.3664322,0.030995178
43022,779.8996715,0.032108781
43019,723.2696918,0.043969718
39057,505.9579613,0.025425673
28014,704.6830465,0.031201598
28022,656.1110407,0.050794687
28023,634.3490645,0.141770486
28033,527.8847816,0.114681018
39056,1268.326229,0.039199864
40029,1292.517608,0.053406934
28113,532.0081841,0.055949829
30005,602.8787924,0.041303496
32010,664.6755651,0.036316003
45008,570.7441493,0.099881765
32008,700.6017546,0.03816087
33068,712.825877,0.024374817
38032,630.5817655,0.035690945
39035,812.0965682,0.074696002
39077,1638.072324,0.030752173
39088,918.8746603,0.049207153
39038,727.3148111,0.025769721
39052,603.4849071,0.033065433
54036,751.9538104,0.067608782
40011,787.1093747,0.041372568
40012,1174.232383,0.051727268
38022,590.8352941,0.043171171
58009,582.4506485,0.087677476
59002,466.2199776,0.108330991
53022,726.0527959,0.051490333
38033,649.0449918,0.035209823
60004,408.2848689,0.163607
54057,587.0622481,0.072236573
84020,442.8061683,0.123278732
75002,558.5825888,0.227713518
49005,800.1868272,0.107575416
96006,647.7513592,0.097513353
50013,574.2324942,0.163385227
76004,549.3206664,0.196685333
76011,688.3133056,0.034103574
48003,637.0017142,0.087432317
81003,540.5887193,0.080538793
81004,510.2055814,0.042910944
91802,614.565636,0.406567657
101002,543.0995065,0.051313485
84009,558.960354,0.099090384
63003,472.2795685,0.093953704
202001,#ARG!,NA
83002,407.8296427,0.115885266
69004,466.1970464,0.177376506
52026,899.2192172,0.038420355
80002,574.1123418,0.128358743
55004,499.5051037,0.158376329
73016,516.5998756,0.363604593
89009,676.6962051,0.362096567
54098,586.6213041,0.140201854
31026,726.9319753,0.051972948
203011,#ARG!,NA
203021,#ARG!,NA
203022,#ARG!,NA
205003,#ARG!,NA
82001,473.8889004,0.104446496
203049,#ARG!,NA
79007,462.9103053,0.07042131
18011,522.8057994,0.200230509
205011,#ARG!,NA
83009,413.6763374,0.091435775
203043,#ARG!,NA
81006,618.0843734,0.150527783
80003,529.2292338,0.180616762
42029,1184.905786,0.035685688
21021,564.9867953,0.154242285
19017,514.490846,0.065848742
19021,742.2183774,0.072234821
26007,338.7098833,0.010816222
21032,507.0156941,0.17897874
27008,614.8690026,0.077331341
25009,584.4161583,0.078567026
24006,567.0236095,0.131213306
26004,1484.95509,0.039749307
27072,681.4289133,0.116760031
27068,596.2913225,0.139727104
27056,645.7827836,0.089342341
27018,514.811326,0.142161447
27031,664.9333144,0.110051107
27038,280.8654445,0.014779849
27003,682.7565628,0.093117633
28079,728.8113356,0.048931097
28080,650.2758007,0.033597568
28046,846.1957026,0.095763262
28059,679.3972953,0.047041054
28001,536.1015146,0.179611765
28004,650.3687424,0.033598638
28008,697.1927358,0.099540124
28010,699.5250809,0.112322098
39134,1165.363628,0.024153094
42006,1320.159232,0.034589195
41034,712.4526024,0.050044884
54115,619.4845125,0.029353682
41021,563.6863369,0.023095001
39009,770.8710964,0.038567884
39010,778.7596703,0.043179165
39011,866.8438687,0.046904155
39097,699.8502994,0.048905637
34001,685.1190849,0.023168962
71014,506.3826838,0.074933557
74005,540.42798,0.202945125
40021,566.7618541,0.061419893
33045,549.0674822,0.01435044
45001,506.9436919,0.143766021
39016,864.3304551,0.040043065
37010,669.89091,0.027657204
39032,910.6871826,0.051348209
37026,492.7340359,0.033529684
33013,770.1314319,0.02196505
37016,654.0727143,0.026437478
39114,1017.769595,0.036969753
54023,658.8795535,0.042467579
67023,585.6256287,0.036444008
41026,454.8671841,0.066198467
84025,400.353649,0.066834092
53024,712.292672,0.089933328
101005,737.8374768,0.115738756
54061,442.1963595,0.025556565
53006,627.7474286,0.039965961
54089,661.2385962,0.036117309
57015,572.7925264,0.170815492
64004,435.2431522,0.195039219
56019,707.6447402,0.16074907
72005,443.0502441,0.206168305
201007,#ARG!,NA
69015,519.2034602,0.155061414
54022,471.4055589,0.239688786
55005,528.2681959,0.17845837
73010,445.9536236,0.268346368
76022,635.5994094,0.112597862
55010,515.5381744,0.190253824
56011,581.6111269,0.217747433
6001,641.2488127,0.198318519
3003,676.7140007,0.161561039
3005,696.1436344,0.113499216
1001,687.606178,0.026421569
2001,725.3563494,0.098247673
6007,644.0443017,0.195682037
8001,738.878227,0.161215153
7007,632.1318279,0.084053201
7008,689.0671691,0.127385053
11001,666.8271377,0.114671506
11004,709.4225733,0.106381362
12002,722.0234274,0.176513902
12003,770.5513854,0.215885666
15041,734.0079337,0.241048833
16004,601.8934063,0.16256445
18021,744.3220302,0.094998463
15010,632.4191062,0.160802838
15012,757.9869212,0.168613922
19012,567.3393709,0.06656851
18014,473.6758869,0.104176396
18022,490.7161618,0.245533901
19001,559.054482,0.054323341
23001,565.1757953,0.097645223
23003,542.2378851,0.097163173
20002,591.6759825,0.052226908
20004,781.4730616,0.053556569
54029,588.0145188,0.102375121
54026,774.1082848,0.048037788
76015,523.5770341,0.302894604
37027,405.8509349,0.034219997
41002,406.9908396,0.064855022
47006,555.4472297,0.109148645
41012,466.1500268,0.052391807
38007,782.9446734,0.021363637
33022,665.8933541,0.02855605
33024,758.8815824,0.034145373
39100,639.2390516,0.025373852
40013,1014.3064,0.05819345
39028,917.0363105,0.035318781
39110,800.8538932,0.07977845
39112,#ARG!,NA
35008,641.9386263,0.023294619
39119,660.6594314,0.04442313
47020,599.8644816,0.082430934
43023,1072.109776,0.049718888
39138,606.973594,0.027120853
43017,1202.022249,0.042021272
58003,581.9659706,0.087416628
43012,957.8168105,0.053120291
47015,649.5875282,0.112936447
39129,755.8577234,0.047191691
39131,652.5013791,0.03556209
39095,1233.017612,0.027213409
56004,579.4899908,0.148049851
56006,542.9236432,0.140945532
27075,610.8924371,0.04739553
28058,740.2479204,0.083018749
31011,856.597695,0.045530708
33002,646.1393013,0.031285861
33004,697.3932455,0.030452207
28066,646.2259717,0.029492125
30004,596.1381967,0.055965854
30006,602.3084893,0.028799006
39098,601.3670937,0.031872017
45012,448.7515047,0.108981396
31005,722.3455773,0.042464113
31028,717.5006417,0.047876669
69045,472.9025852,0.081718115
54038,578.7658939,0.189821633
67025,515.8369843,0.085515473
39120,785.2789395,0.039630084
39093,651.5168733,0.036581904
42027,1225.92144,0.031442557
39123,617.4183324,0.027648708
41017,493.2502276,0.073450176
42005,1851.437236,0.036002278
34008,627.8275923,0.019222158
41018,649.4476113,0.050175924
67027,556.034411,0.133697457
38014,755.3197136,0.036474919
40004,457.7370222,0.086356679
42008,1123.815931,0.055505039
67008,612.5072198,0.099812514
70005,374.5717675,0.042593031
75001,517.6877226,0.377457459
69012,485.9665521,0.100999409
88001,530.3268187,0.140971784
108001,#ARG!,NA
63002,511.9660911,0.193942476
68002,645.5592815,0.034444604
68003,452.6461198,0.0745925
55011,442.44161,0.198096799
55012,500.0355052,0.170034561
53017,882.3603987,0.045971497
69035,519.2662849,0.10885433
72015,453.736819,0.166617925
55025,680.357093,0.133577253
96005,802.9178528,0.233750654
66005,598.1293613,0.133331995
54067,789.0487865,0.030216811
72007,419.9224408,0.077990382
66006,489.7283194,0.128032239
76005,604.5946883,0.096536752
76010,752.9201725,0.048193991
50005,673.7301614,0.090586779
65006,505.1726272,0.18732813
236005,#ARG!,NA
75018,558.6214802,0.227520526
203093,#ARG!,NA
64006,553.7307526,0.195082178
54066,380.5511797,0.022212105
49003,545.3057414,0.067622642
106001,686.290935,0.057560455
73014,522.0977735,0.328964013
54084,621.3073145,0.11683907
82003,487.5773058,0.104425583
83007,445.1760684,0.053269736
83008,438.1074549,0.047415467
90003,519.1082128,0.351042061
56012,628.86289,0.275885377
89008,545.7220395,0.29741686
83012,676.0666565,0.04507411
73017,470.1163974,0.195827741
33023,676.8568219,0.031069392
28017,662.1159899,0.026810088
85002,540.0749667,0.115806073
89004,477.0309343,0.347325321
39108,797.5829364,0.075646508
203040,#ARG!,NA
81005,478.7052819,0.055599133
19007,663.2413126,0.075422062
23002,607.5281038,0.107914372
27048,578.9320855,0.098447408
25001,571.6194568,0.094050213
23012,600.4824602,0.088212964
25005,492.2364676,0.081704088
23017,769.5273085,0.061052178
24001,636.9542328,0.09250241
25022,533.9005958,0.086528819
25809,1623.528137,0.068069354
25023,619.6916158,0.114223404
27069,490.3360217,0.039664226
27013,658.67086,0.138470785
27055,642.1367241,0.123784616
27016,555.0732091,0.163406628
27017,634.7379249,0.11900831
27024,670.1882378,0.118461014
27025,640.0574615,0.0633535
27034,687.676538,0.139969977
28047,916.5799036,0.032216199
27043,672.573646,0.147679813
27061,536.3046909,0.141836675
28035,873.8374924,0.032936869
28038,485.4447652,0.119914188
28005,673.9527927,0.030905165
28006,591.6709559,0.05012946
28011,714.2455139,0.129582798
43025,747.2296648,0.035511695
42011,736.1586255,0.034717195
39115,1030.315861,0.039472711
32029,641.4084285,0.038270546
57017,441.0960784,0.223848254
39068,572.1643208,0.038983049
33037,646.1165712,0.030960035
42016,1283.995412,0.039969221
52002,436.400643,0.079431828
71009,544.3339578,0.104512531
42018,1174.214186,0.034833461
39076,914.0912258,0.060977471
34007,717.9739615,0.016889229
39019,924.2228209,0.04804002
39020,801.2232774,0.086806509
37008,617.4530066,0.026349569
38030,634.4600377,0.03656551
84013,565.1909923,0.096185665
33032,1246.585317,0.026291588
45013,534.1591944,0.071220884
45816,467.2285823,0.131317215
54114,649.1345632,0.029033496
33015,661.8675014,0.032779082
33016,656.5779575,0.029506693
33018,622.4275872,0.038785288
58008,416.6255696,0.138837
39118,727.8835805,0.045293199
54113,615.891523,0.030822483
69043,603.5489084,0.0813379
56013,566.1592482,0.149843464
54102,663.7857424,0.037539441
54045,495.9414477,0.099889172
52007,582.2948958,0.062505968
55033,553.8075944,0.155589627
58006,755.7475208,0.106738429
89003,683.45053,0.252049977
53007,668.8986819,0.061563814
75004,571.1644154,0.29074645
50012,480.6233907,0.124260784
57001,555.3222384,0.16269093
54018,525.6907642,0.085074886
72002,444.7751361,0.093954474
31002,566.8721463,0.034523424
42010,1119.210808,0.038873999
201008,#ARG!,NA
55022,494.571772,0.10451052
65005,457.592101,0.134560276
54046,598.3413762,0.03155298
50001,467.1355876,0.108747823
55013,633.3718142,0.139608538
64001,448.8058208,0.253811478
68020,646.7610431,0.034470169
54004,578.259863,0.027025984
54005,468.9759422,0.145318171
54008,601.798853,0.10963899
55018,544.1639557,0.06777123
53028,778.482422,0.073292987
8017,737.6718503,0.150595353
8015,581.7512618,0.141768888
4003,759.5382519,0.188776235
4008,732.6612455,0.072873181
3001,708.559134,0.117014713
8008,702.8744237,0.216179695
9006,531.8882885,0.068277694
7011,588.1052829,0.086119259
9009,539.156619,0.063458641
8021,737.7661265,0.089821895
9001,618.3463079,0.121615834
9003,592.1709802,0.091821672
12009,696.1332762,0.184381823
15008,771.4544005,0.067609757
16002,688.0170412,0.25066214
18017,643.751942,0.414804363
17001,496.7982862,0.12842897
17002,554.5717208,0.075489116
17016,530.8419945,0.031907469
21006,547.3053853,0.202032053
21010,564.3698256,0.177696678
18005,596.1824444,0.11864072
19010,637.5648881,0.067413363
23015,540.6097967,0.096191216
22002,463.5904302,0.20698965
23014,675.9251308,0.144171952
21027,602.1538285,0.069427328
50011,538.8468933,0.092064555
47016,596.4717045,0.094672748
40025,433.4124952,0.082661477
41003,509.142886,0.044235266
33028,603.1541667,0.031435481
36006,637.7550872,0.033119717
36008,641.9707963,0.031889607
38026,523.7249552,0.027533066
38004,662.4857643,0.038506876
38005,594.8157844,0.031475455
44004,1023.49554,0.068610031
39043,1135.407669,0.037332308
41014,540.3938497,0.043970799
43004,1122.273413,0.035419219
93002,655.3684046,0.254535132
202002,#ARG!,NA
36010,730.4887199,0.029648008
56001,614.8283701,0.161529372
28016,882.8016906,0.032838348
28019,651.5267079,0.034195089
28027,576.3063179,0.048036099
28031,550.7304771,0.104514627
28043,716.0189555,0.134566728
28032,612.0590595,0.041741547
27077,868.9076286,0.07311554
39046,739.2297283,0.042431968
31025,690.5293697,0.042485661
33003,653.2653975,0.029132211
28112,534.0049547,0.089897962
30015,584.3407767,0.03443652
28103,1492.875791,0.077081969
28110,726.3161834,0.045366506
45010,506.4463902,0.148211583
45011,537.0096182,0.151926528
42012,1041.052847,0.034343784
41035,596.2765565,0.06012645
31006,711.4257935,0.043501639
84011,387.0594609,0.083993811
69023,515.4326093,0.097253667
69044,516.0248319,0.111874324
37013,678.7766695,0.024172674
37011,631.4478592,0.023809907
38031,673.45739,0.037265207
33054,1281.048801,0.027122964
38028,555.2752199,0.026202045
38019,753.6481129,0.036341897
40005,508.6997696,0.038575525
40008,760.5756954,0.037485479
40010,652.3660011,0.034701842
41024,464.0600496,0.050075204
58012,470.3778782,0.230369658
49006,649.8865622,0.057190737
27096,761.2178791,0.177431881
68006,495.6472969,0.107192976
67003,569.8497966,0.101877732
65015,545.4919983,0.22555127
72817,409.4250687,0.036935017
62001,576.5525086,0.118182324
68007,411.9788224,0.03279406
54906,695.8627102,0.045099899
54080,468.4772974,0.182696356
54047,482.1590483,0.061916614
72016,494.6603842,0.109239988
95006,614.1895515,0.230644477
74007,514.8702071,0.287296474
69011,439.4291682,0.050001145
69042,762.3890868,0.079958444
92002,456.6926713,0.453770709
205105,#ARG!,NA
64010,432.5914596,0.167047321
92003,413.3894747,0.238409671
65004,490.2833142,0.32546499
74002,598.226643,0.282652093
101004,658.2270193,0.072875784
89006,396.3269329,0.187540109
58011,634.3081208,0.039695672
53020,618.4563102,0.026412966
54003,492.3422202,0.239040323
69013,421.3229987,0.026135737
48009,674.3456246,0.088329765
75007,575.894172,0.167304926
54100,594.6428006,0.029997952
84001,430.6594905,0.089214535
101001,652.5641283,0.074223392
73002,410.7433855,0.180449615
54099,854.7325296,0.02592185
84037,573.8067408,0.081882563
49008,394.9461433,0.142204993
79003,524.3595154,0.12444796
203024,#ARG!,NA
33040,372.9328463,0.035403136
27093,733.2435589,0.147110806
39866,770.554531,0.038545756
19004,495.7869923,0.069373947
19005,541.1330243,0.052883515
19006,574.7858718,0.082107633
19002,453.9657474,0.04212915
19008,544.6553264,0.088416691
21029,524.9275031,0.170258589
22001,646.511922,0.092519205
24011,499.3277557,0.142118421
25003,677.5850296,0.086839135
23033,564.4738895,0.121399958
27014,677.7400467,0.10384247
27060,497.0086939,0.024795873
27083,527.8952903,0.030656526
27085,537.1191283,0.072409203
27020,547.6429254,0.087807237
27028,706.6339233,0.09235385
27032,523.3067243,0.120488901
27035,590.772034,0.099474158
27004,656.9252081,0.106339635
28081,750.7051724,0.036141937
28082,639.7843301,0.024007634
28093,683.1127397,0.03308297
28095,666.5478534,0.030998124
28048,668.3156735,0.074303326
28117,717.5968911,0.128059847
28052,706.0278288,0.044996295
28072,751.5987092,0.036313659
27051,455.8832764,0.050629636
30011,772.715368,0.051729828
28037,615.5917327,0.163901179
28002,565.4685588,0.048257054
44006,568.6031463,0.034165081
39069,554.2319619,0.037189655
33044,683.7826492,0.015315006
32031,594.8285185,0.035514083
41030,440.9265217,0.056865206
37018,525.6065599,0.036031954
34003,716.9245728,0.024376526
34005,784.5986177,0.022717094
71008,519.6161567,0.116055036
41022,551.3726419,0.039679359
41028,483.9404209,0.04707597
37006,591.713112,0.026182621
39013,738.1891206,0.041071178
39014,889.7541102,0.044097295
39018,662.8914467,0.026653219
39029,662.3650539,0.064555946
47025,419.3218675,0.108978779
34014,801.5145908,0.020254095
84014,591.1544096,0.061152257
75016,579.8015982,0.364689848
35001,659.0822574,0.026282331
33012,563.4995502,0.027796334
33017,623.5570108,0.029178699
33065,885.5318133,0.042649228
40017,451.6337814,0.092231257
43013,473.4693802,0.035408667
48005,709.2065008,0.086968989
58002,596.7024213,0.143799945
47014,716.0814064,0.110271821
54112,694.4574024,0.035372217
84030,462.4113445,0.060019071
54106,759.0918925,0.054448841
56003,547.7206854,0.1407934
56007,600.0970501,0.169663459
89002,596.9302028,0.38541022
54059,361.1226161,0.024371213
53008,701.0532819,0.036795419
77002,477.0380595,0.173394633
50003,404.0791886,0.100541876
54017,607.170842,0.058136445
73009,428.3331091,0.126516169
57006,503.6637465,0.225919586
57009,483.7402164,0.089925484
72004,529.7295127,0.145050761
50010,474.1523382,0.064999455
69017,547.3483807,0.150045852
52008,672.5200918,0.180205199
54050,668.0493617,0.030336651
205020,#ARG!,NA
54020,485.0095435,0.05677195
68018,502.5425671,0.108944522
48010,448.8744567,0.135750951
55029,554.4169713,0.135254024
54011,597.5907105,0.039433815
53029,676.7760481,0.040157018
67006,519.7251945,0.124080228
5004,719.1240435,0.256411912
4006,764.1653062,0.171507046
5001,726.4267926,0.25972255
6009,663.02713,0.224671092
7001,681.1656858,0.142011417
8010,767.7255629,0.159252005
13007,612.7512138,0.15279978
9010,631.4594433,0.136361038
13005,711.5473984,0.048933259
15005,600.5302513,0.178048198
11005,679.7522582,0.171916253
12001,739.963451,0.189727153
16003,574.3754038,0.164272446
15002,672.1113471,0.181625638
18020,707.6736472,0.121494393
15016,657.4059961,0.249142197
15017,682.0535773,0.161351822
15018,722.057431,0.233463055
15021,632.5040179,0.101952913
21008,567.7693515,0.116688366
21009,571.7011909,0.14087786
18007,527.9736974,0.214454825
18010,494.3524798,0.141393343
22007,632.4592615,0.04906675
24009,659.9355513,0.084219361
42024,1120.506308,0.038621035
39006,922.3027506,0.058442263
39007,607.7523235,0.027784556
40016,730.7713835,0.034700851
40018,1011.416324,0.056989542
41011,826.7022049,0.055626814
54043,554.2108516,0.090256695
39144,740.5117904,0.045318198
39145,516.4699724,0.043280114
39147,3223.014498,0.036395977
33049,859.0609254,0.013902951
39058,1173.421395,0.034784582
39061,#ARG!,NA
33029,616.3026283,0.015602226
42017,1108.451531,0.046482441
43018,1217.129489,0.030279324
69048,523.6234648,0.134269818
67015,560.8923343,0.163788407
39085,930.3343245,0.042877278
36005,650.7243445,0.030307596
39027,899.8127566,0.043704154
38003,999.4527383,0.032811005
32016,795.2878223,0.033794318
44001,931.9151871,0.061306138
33062,#ARG!,NA
43005,1309.042677,0.036778062
43008,1223.477309,0.045750053
93001,610.9866453,0.302382916
39128,546.9921767,0.026792542
39073,818.8115433,0.078900017
38025,590.937052,0.043171058
36011,595.8153207,0.033546609
28029,609.7286742,0.030991847
28030,656.0235634,0.042878874
31013,586.6758782,0.030244899
27081,531.6007168,0.043220408
31010,632.1399334,0.056186927
30018,808.2506589,0.034650812
28067,701.3818102,0.10563037
31024,489.6867573,0.044531856
29001,830.8162639,0.040210977
30013,457.4122546,0.029855456
35011,715.8500669,0.031398435
45007,511.7935554,0.116379881
32002,664.8047559,0.039655408
32004,673.5360963,0.036279008
41023,875.3392461,0.06463192
84015,416.6877512,0.084487102
69027,544.4956369,0.115705684
42014,699.472732,0.034284878
52001,1290.410506,0.078256211
39039,2843.303963,0.035828446
38017,789.5377733,0.031310349
39104,701.0803582,0.038432614
39084,746.3988963,0.035940321
39086,483.5795814,0.057042856
33046,583.7123832,0.016265259
41037,1851.851888,0.065287252
54091,463.702114,0.219348846
76019,661.9418253,0.052604265
55015,568.223657,0.220693204
53001,725.4578449,0.036860202
61003,734.9875948,0.11931355
68004,423.6391949,0.037621534
69033,661.2978873,0.018906327
69047,450.206198,0.127709961
48012,691.7692218,0.089383022
69037,514.3844281,0.094290047
70002,492.0911102,0.053122617
70003,463.6267877,0.080644949
84023,399.8180447,0.058171849
73005,442.1620807,0.153275557
76007,619.2519371,0.108181719
49004,616.8905931,0.072443523
66004,704.9342941,0.102691019
95002,789.2168725,0.216781228
203092,#ARG!,NA
84033,464.1910247,0.059519187
52025,462.6153843,0.092621938
92004,534.1664486,0.209295941
69020,580.6195052,0.093316783
67029,625.7072848,0.258285627
75006,497.3905068,0.264488382
78004,465.1602426,0.120000805
81001,527.4914497,0.134431799
66012,435.7088107,0.246709598
53019,573.5912436,0.02162973
84031,626.5048727,0.05552782
82002,556.2415756,0.122455786
52016,731.0515513,0.086331901
76001,539.0352063,0.410553484
89005,584.6354776,0.338411475
65001,514.5050168,0.379529878
67013,407.718093,0.19233718
68011,495.4054788,0.030987013
54048,663.0265271,0.0448217
53023,837.6752701,0.028890562
76020,773.1005803,0.049157285
33052,761.2676424,0.033464526
203017,#ARG!,NA
203019,#ARG!,NA
203097,#ARG!,NA
204001,#ARG!,NA
79006,480.8810941,0.162384816
203025,#ARG!,NA
84004,563.5859577,0.14087963
80005,623.7547811,0.250291363
77004,490.4942312,0.06346465
79001,657.5380296,0.26297623
42030,1480.817188,0.034781614
43027,1121.499006,0.0427229
60017,431.7214966,0.119580329
21016,615.2813613,0.086612471
21022,557.1092465,0.091410046
21026,462.2052809,0.207110057
21034,518.3873457,0.266134247
21019,600.2960004,0.202768212
26008,479.8888694,0.050485476
26009,790.6470001,0.047156349
25004,649.310249,0.042357005
25006,477.8847644,0.093613746
25011,815.1547144,0.13284809
23018,645.6859471,0.08729407
25029,493.6720677,0.083465773
25810,911.2895612,0.075585219
27090,687.7118607,0.108748963
25020,664.1565935,0.045199613
25012,511.4713424,0.121594642
27092,616.8018857,0.110408484
27057,738.0837212,0.088688677
27015,748.2108587,0.076930149
27087,973.3070468,0.063881558
28091,888.3681344,0.032892382
28050,988.2256617,0.030301412
28040,544.5983195,0.071600968
28003,695.4890915,0.035874105
41033,1209.596892,0.063413967
45002,521.4950239,0.153733815
39116,1136.48755,0.044637723
41020,545.3961912,0.054485618
33033,743.197258,0.032566672
36001,645.4748265,0.032395964
39074,788.869661,0.037206104
46006,741.8451807,0.099905848
38002,593.2578063,0.031844827
39079,765.9496137,0.043301613
37001,590.4286977,0.030864263
37017,654.5558448,0.028914533
41015,653.0540065,0.044844465
69022,505.5834709,0.119244258
45817,473.0242494,0.120350737
33014,709.7937323,0.031076197
40014,1555.29662,0.042022855
54013,449.0782451,0.195870499
54014,459.4334437,0.149526959
54015,618.5536472,0.02810035
54092,549.5832305,0.260476207
54012,610.0441178,0.030679902
69019,640.1941089,0.034773084
55034,395.1637307,0.226677001
54107,611.6251543,0.03719391
53018,723.7697703,0.049211081
54088,647.664698,0.057838065
71001,533.8863433,0.101969704
75005,527.2845722,0.292869811
55026,536.1745808,0.180282869
57008,538.1642567,0.122042776
60007,524.3100756,0.159069239
84017,425.5729602,0.084815843
52009,781.7977702,0.069638944
69006,473.6536535,0.081497315
